concepto_exp,2019_e,2020_e,concepto_imp,2019_i,2020_i
Ganado vacuno,824,881,      Ganado vacuno,43,46
      Miel,68,68,      Leche y sus derivados,1013,862
      Flores,39,36,      Huevo,188,195
      Pimiento,1327,1472,"      Estómago de animales, excepto pescado",274,202
      Jitomate,1975,2418,      Frijol,103,134
      Cebollas y Ajos,387,461,      Uvas frescas o secas,196,213
      Pepino,557,644,"      Manzanas, peras y membrillos",388,332
      Frijol,29,58,"      Pimienta, chiles o pimientos secos",120,96
      Garbanzo,162,152,      Trigo,1137,1100
      Frutas y frutos comestibles,1565,1455,      Maíz,3190,3090
      Bananas o plátanos,292,274,      Arroz,348,448
      Aguacates,2932,2936,      Sorgo,154,78
      Mangos,441,446,      Semilla de soya,2188,2226
      Cítricos,604,561,      Semillas de nabo o colza,496,592
      Uvas y pasas,294,282,      Semillas para siembra,466,459
"      Melón, sandía y papaya",526,496,      Tabaco,102,68
      Fresas frescas,568,586,      Algodón,310,208
      Café crudo en grano,258,352,      Otras semillas y frutos oleaginosos,314,297
      Trigo,201,163,      Otras frutas frescas o secas,575,573
      Maíz,254,271,      Otros cereales,92,163
      Tabaco,27,28,      Otros productos agropecuarios,874,895
      Algodón,212,207,"      Pescados, crustáceos y moluscos",645,520
      Otras legumbres y hortalizas frescas,2358,2580,,,
      Otros productos agropecuarios,830,946,,,
      Camarón congelado,429,342,,,
      Otros pescados crustáceos y moluscos,679,567,,,
