entidad,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total
Aguascalientes,817.295677,286.9313711,252.8550055,114.7205717,122.2907836,439.9318529,135.7840944,130.1830168,397.093015,314.2235996,336.1192984,343.4436403,223.6708614,349.3177922,61.88430112,977.7152254,803.466371,579.0923946,1557.508418,1139.522662,464.8768203,740.1151002,34.94909126,591.5615016,11362.12216
Baja California,1241.017363,1033.745371,1320.662161,1532.962518,1083.842528,1361.155893,1331.733957,1240.841529,1755.649974,1431.416626,782.3395375,1403.625858,765.3160738,985.4153912,1283.97658,1255.831221,1155.013571,1525.052806,1664.523216,1612.190825,1149.579417,1144.114226,2286.117449,1863.946759,32586.75016
Baja California Sur,135.0895245,173.2408237,240.7086598,328.2138364,148.5142755,226.0559443,737.689824,590.0730015,805.8272158,721.6656363,403.2215524,513.98174,692.6212526,716.4255079,419.3968973,224.513099,367.854969,500.3086971,558.6114567,440.899551,450.9983971,605.0461792,1073.093626,656.5484311,11965.14534
Campeche,30.518936,25.228133,51.516612,190.492753,64.613768,147.846721,119.298714,29.199933,127.525718,145.670688,16.28384673,85.13004795,20.13192519,165.3313651,250.8456161,188.6385427,499.436533,63.21578086,310.0647444,91.1179986,133.8189207,137.5256353,196.6772441,35.90757842,3409.983462
Chiapas,29.82999182,43.478636,199.003159,204.874527,111.0190511,229.343484,138.109254,85.656606,165.455188,60.823452,89.55441019,156.1725162,89.93704887,120.6795566,189.2246313,51.94997416,225.6706979,104.0203652,182.310607,73.64287828,159.2159753,121.6376469,162.6835544,168.9454169,3388.005897
Chihuahua,631.180195,1376.427232,1068.788142,1366.817144,1105.449164,1446.647597,1542.118307,1939.786836,2068.08867,2508.15229,1406.890046,1838.11144,1201.223195,1182.787806,2270.908572,1885.889619,2488.219384,1868.451684,1764.126368,1169.648519,1357.244728,609.3729217,1788.474485,1786.39831,38881.61095
Ciudad de México,3640.284924,5310.344632,10219.90694,6501.691172,3510.411198,5560.729823,5984.364529,5672.404319,6931.367857,7719.783066,5224.735374,4040.045926,7422.542087,1316.956101,5758.129744,5994.410797,5897.575425,6716.126776,5090.472099,5817.196114,8730.181893,6998.759961,5476.926819,10928.55405,146938.3129
Coahuila de Zaragoza,475.5334974,505.770114,1111.220524,872.111165,794.9564651,818.693335,600.003634,543.61799,532.5183389,589.91197,388.0867917,737.2701838,641.8537728,537.7587383,1775.324847,1601.398117,1331.908571,1091.44437,2636.265187,3216.083032,1336.527818,822.7335639,1022.160397,755.5593365,25594.82258
Colima,30.261954,16.13912645,93.811284,59.59787056,64.768214,154.5114804,51.580562,100.2608726,111.3974507,102.0642707,98.99050096,270.9755292,131.8178755,19.18920054,17.77837465,193.3134095,176.4452149,84.86877645,117.8470366,86.40030855,40.1536475,86.54394798,110.7746282,82.04868032,2537.113034
Durango,166.134803,130.332926,286.932426,161.105178,306.148889,-104.638491,70.75592,9.482519,401.384644,485.668435,125.089659,413.2091574,228.2240689,267.2591884,453.7102219,128.4389832,161.4661002,235.5733706,117.2720457,386.162095,176.1836768,478.7320834,478.800989,571.0472261,6357.337252
Estado de México,1113.065066,1300.831564,2332.510533,1936.338422,1468.968352,3947.129201,2539.520156,2403.232948,2004.784197,2345.097819,1595.771633,2039.093667,2651.269469,3040.24049,4618.820107,3452.717019,2975.11567,2358.199635,3566.941222,2315.361045,2842.098925,2311.175345,1479.096309,1712.487356,59459.78555
Guanajuato,308.523956,303.317655,855.533982,735.257365,721.083711,684.979887,781.813638,549.858544,1038.171035,739.838704,508.8651409,394.1594468,1423.975317,1304.289464,2607.046252,1189.977052,1720.84038,1262.133407,1640.57669,2411.110405,809.6885588,180.1002675,1769.988575,1518.853378,25994.61964
Guerrero,35.73536992,43.09223588,216.0996241,301.9739726,148.284512,217.1322267,234.6726259,162.5264166,101.8636608,573.1485147,140.1613691,134.3291516,228.8330072,129.8817567,1047.921388,422.3359294,131.1528038,148.8254488,377.4887627,392.5161679,222.7705528,277.9074653,664.3596002,241.0298606,6958.400501
Hidalgo,10.035288,-87.559899,297.446567,153.634904,95.740712,211.75851,110.681813,192.619476,75.541745,119.802496,110.646238,381.748027,251.8014383,164.3672088,435.5515614,-106.7992623,513.4330412,407.124334,321.8823129,185.1908461,249.0557046,277.5244663,161.9350498,417.9678792,5154.631657
Jalisco,749.0016293,1396.595801,1707.867186,1171.116807,1250.834182,1417.674421,817.7395662,969.9536698,1797.624361,1024.459372,1009.947163,2210.711936,1004.541543,1397.605712,2912.443464,1670.080894,3084.249148,1437.036301,1517.547258,981.0228312,1553.024414,2129.256825,2134.502555,2902.674929,39278.35482
Michoacán de Ocampo,22.997267,26.346226,312.924914,193.737333,151.79767,355.633994,129.456829,93.51079658,1717.127222,120.907848,126.546767,152.8783869,108.6992618,231.6058561,2155.565991,-1.92438957,309.6201521,120.8285752,174.6646436,163.0885202,144.82342,238.4556259,217.9397581,158.5399473,9359.723173
