country,latitude,longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total
Alemania,51.165691,10.451526,685.7,297.6,731.2,716.5,485.4,450.1,378,508.3,723.2,697,263.3,606.2,854.1,"1,169.70","1,983.50","2,148.80","1,239.50","2,768.00","2,643.30","2,936.50","3,496.30","1,163.70","2,073.20",215.2,"29,234.20"
Argentina,-38.416096,-63.616673,3.6,23.1,40.3,66,10.6,11.9,"2,612.70",274.2,"1,926.80",114.1,3.9,-13.2,94.5,408.5,64,354.3,517.9,289,349.7,"1,085.00",464,663.5,-465.9,"2,315.90","11,214.60"
Australia,-25.274398,133.775136,6.9,8,1.2,8.4,190.5,7.2,24.1,32.2,139.6,11.3,26.5,41.1,22,18.5,58.5,20.8,685.6,90,"1,378.90",609.7,767.7,328.4,50.2,129.8,"4,657.10"
Austria,47.516231,14.550072,12.5,9.1,78.6,50.2,32.7,32.5,56.7,140.9,136.8,43,-16.3,19.7,-1.8,22.2,7.8,4.8,71.5,50.1,95.5,115,173.7,36.8,70.9,29.1,"1,272.10"
Bélgica,50.503887,4.469936,-50,61.8,39.2,111.9,47.4,46.4,18,31.3,128.2,168.3,618.5,169,374.3,-147.4,"13,321.60","1,269.40",826.9,"1,122.60","1,041.20",67.6,"1,370.60",289.9,68.4,63.1,"21,058.30"
Belice,17.189877,-88.49765,0,0,0,1.2,0.1,0.2,1.1,0.6,0.1,0.1,0,0.4,0,0.6,15.9,0,0,2.3,0.3,0.2,-0.9,0.3,0.3,0,24.7
Brasil,-14.235004,-51.92528,5.3,21.9,19.4,14.2,20.1,41.6,53.8,32.2,197.8,257.3,170.8,289.9,417,492.1,162.9,629,"1,145.30",934.7,-131,114,316,362.2,402.7,252.9,"6,222.10"
Canadá,56.130366,-106.346771,612.6,575.5,807.5,330,381.3,841.7,601.1,975.2,"1,747.70","4,850.40","2,153.70","2,138.70","1,595.00","1,668.90","5,105.00","2,963.80","1,096.30","2,290.80","2,813.30","4,040.70","2,896.10","4,109.10","2,478.60","3,780.10","50,853.10"
Chile,-35.675147,-71.542969,6.3,4.5,11,35.2,16.5,37.7,38.8,60.8,35.5,26.5,52.4,86.9,63.6,28.3,111.9,72.2,125.6,13.5,34.8,90.4,-30.6,98.2,42.4,220.4,"1,283.10"
China,35.86166,104.195397,5.3,11.1,3,1.6,25.6,12,16.7,23.6,15.8,33.4,75.7,52.6,38.3,102.8,54.9,100.7,52.9,70.3,202.5,265.9,136.7,191,386.3,282.2,"2,161.00"
Colombia,4.570868,-74.297333,-3,12,7,22.5,9.3,38.9,26.9,21.3,-8.8,48.7,48,63.6,307.1,61,106.4,100.2,113.8,224,55.3,-17.9,228.5,116,73.9,176.9,"1,831.70"
Corea,35.907757,127.766922,100.4,82.7,80.4,38.7,259.6,129,133.5,126.9,152.7,624.2,158,162,143.2,217.8,472.7,611.3,"1,013.20","1,124.90",258.8,704.4,172.5,601.4,692.8,673.5,"8,734.50"
Costa Rica,9.748917,-83.753428,5,0.4,12.3,-1.1,13.5,2.2,1.8,1.7,20.2,2.9,24.8,4.3,1.8,32.4,0.5,-0.4,0.1,1.5,2,-1.4,-9.6,6.1,0.6,9.1,130.8
Dinamarca,56.26392,9.501785,91.5,141.3,83.8,97.5,86.7,33,31.7,130.7,74.5,111.6,47.4,-9.7,163,259.9,148.8,177.4,72.8,65.1,142.8,26.8,192.7,96.9,7.8,-172.7,"2,101.10"
Ecuador,-1.831239,-78.183406,3.3,2.1,1.8,0.2,0.7,0.5,2.3,-2.8,0.2,2.8,1.5,3.5,8.1,8.4,5,0,43.9,2.8,0,0,3.9,0,2.4,3.4,86.2
El Salvador,13.794185,-88.89653,0,0,0.5,1.4,0.8,0.1,15.5,0.3,0,64,17.6,1.4,0,0,0,44.1,10.6,35,26.6,0.1,10.3,8.9,2.4,2.7,242.7
España,40.463667,-3.74922,987.4,"3,761.50","2,877.10","5,429.60","1,959.90","6,527.60","2,526.30","1,566.00","4,667.00","5,296.40","2,747.50","3,967.00","3,532.60",-405.3,455.3,"4,464.30","4,019.00","3,650.50","3,365.10","4,280.60","4,404.70","4,023.70","4,282.80","1,637.90","80,024.60"
EUA,37.09024,-95.712891,"7,313.90","11,924.50","21,533.40","13,505.10","11,124.40","9,965.40","14,384.50","14,351.90","16,059.40","11,905.90","8,389.80","11,148.70","13,036.70","9,771.30","17,047.40","10,276.20","19,367.60","11,049.80","15,422.00","11,914.10","12,901.60","10,563.80","14,590.60","15,021.60","312,569.40"
Rusia,61.52401,105.318756,0.1,0.1,0.2,0,0.2,0,0.1,0.4,0,0.3,0,0.3,0.3,1.8,0.5,0.7,0.8,1.9,14.9,63,44.7,1.7,0.9,2.3,135.2
Filipinas,12.879721,121.774017,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0,69.2,0,149.3,0,0,0,1.8,0.8,0.4,0,0.6,1,93.4
Finlandia,61.92411,25.748151,234.9,425,224.5,-4.7,148.5,-43.8,111.6,-23.1,121.8,168.9,-27.1,42.6,72.5,136.6,266.6,108.6,205.2,-98,11.8,81.9,71.7,-35,-165.7,-4.4,"2,031.00"
