,PERIODO,CDMX SUR,CDMX NORTE,MÉXICO ORIENTE,MÉXICO PONIENTE,QUERÉTARO,MORELOS,GUERRERO,CENTRO,NUEVO LEÓN,CHIHUAHUA,COAHUILA,TAMAULIPAS,SAN LUIS POTOSÍ,AGUASCALIENTES,DURANGO,ZACATECAS,NORTE,JALISCO,GUANAJUATO,BAJA CALIFORNIA,SONORA,SINALOA,MICHOACÁN,BAJA CALIFORNIA SUR,NAYARIT,COLIMA,OCCIDENTE,PUEBLA,VERACRUZ NORTE,QUINTANA ROO,YUCATÁN,VERACRUZ SUR,HIDALGO,CHIAPAS,OAXACA,TABASCO,CAMPECHE,TLAXCALA,SUR,NACIONAL,CRISIS,
,2020/Feb,"1,784,920","1,662,118","981,132","657,708","615,585","213,476","156,351","6,071,290","1,655,159","902,039","780,681","702,453","455,287","338,559","245,574","189,057","5,268,809","1,837,966","1,013,555","940,382","611,885","587,810","468,015","185,493","159,617","139,287","5,944,010","628,017","483,343","472,041","384,631","273,767","233,747","225,972","216,685","173,223","134,890","103,111","3,329,427","20,613,536",0,"-1,113,677"
,2020/Mar,"1,768,367","1,667,168","983,841","655,354","611,778","212,214","150,668","6,049,390","1,650,275","897,260","775,133","694,642","453,898","336,383","244,826","188,089","5,240,506","1,831,940","1,011,421","943,854","602,903","590,235","467,532","179,007","151,593","139,808","5,918,293","622,898","481,242","424,238","386,116","272,569","232,518","227,204","216,340","173,950","133,756","103,923","3,274,754","20,482,943",1,"-130,593"
,2020/Apr,"1,704,967","1,624,764","964,944","637,277","591,189","208,949","146,499","5,878,589","1,597,217","883,711","757,891","681,298","442,906","328,581","240,621","184,170","5,116,395","1,793,795","988,250","921,528","592,980","568,335","463,661","167,029","142,436","138,351","5,776,365","604,361","469,608","379,254","373,047","262,095","226,030","225,177","212,199","171,642","131,649","101,285","3,156,347","19,927,696",1,"-555,247"
,2020/May,"1,672,853","1,599,874","951,893","628,295","581,478","205,741","144,039","5,784,173","1,569,776","870,848","747,418","672,943","436,357","325,819","238,087","182,368","5,043,616","1,770,324","971,189","920,312","581,740","544,213","453,381","163,062","142,052","135,082","5,681,355","591,591","462,327","358,243","365,817","248,120","221,589","220,229","207,804","169,106","129,425","99,775","3,074,026","19,583,170",1,"-344,526"
,2020/Jun,"1,669,740","1,593,559","952,751","627,705","581,410","203,862","142,800","5,771,827","1,569,434","875,288","737,734","667,936","432,676","322,007","237,252","182,181","5,024,508","1,755,765","962,664","926,866","577,424","529,005","450,498","165,340","144,319","134,719","5,646,600","586,976","460,252","358,969","365,288","244,431","220,195","219,852","205,143","168,470","128,074","99,274","3,056,924","19,499,859",1,"-83,311"
,2020/Jul,"1,666,276","1,590,806","951,537","627,901","580,949","200,339","143,693","5,761,501","1,573,657","889,248","744,379","672,303","432,699","321,750","236,303","183,163","5,053,502","1,742,635","966,243","934,572","575,672","529,928","447,862","165,477","145,580","134,809","5,642,778","587,165","459,381","356,370","360,408","241,728","217,327","220,197","202,951","169,301","124,251","99,092","3,038,171","19,495,952",1,"-3,907"
,2020/Ago,"1,665,489","1,586,128","954,673","631,971","587,463","201,939","144,572","5,772,235","1,590,011","897,690","750,835","678,269","436,384","323,153","236,944","184,855","5,098,141","1,758,496","970,018","941,458","574,582","529,692","451,388","168,295","143,936","134,682","5,672,547","586,731","461,362","356,310","360,933","244,638","218,985","218,178","203,438","171,299","123,878","99,667","3,045,419","19,588,342",1,"92,390"
,2020/Sep,"1,664,862","1,583,775","961,160","635,197","592,725","203,232","144,513","5,785,464","1,603,318","901,676","754,841","681,683","439,476","326,308","238,074","186,449","5,131,825","1,769,661","974,129","949,253","585,515","543,611","453,937","172,085","147,502","134,409","5,730,102","584,849","462,994","358,177","362,982","244,927","219,672","219,083","204,970","172,923","124,417","99,807","3,054,801","19,702,192",,
,2020/Oct,"1,693,963","1,591,576","970,428","641,465","598,103","205,095","147,179","5,847,809","1,623,550","908,614","760,896","683,018","442,174","325,210","241,199","187,704","5,172,365","1,788,334","980,425","961,284","590,852","558,297","459,604","175,792","147,839","135,757","5,798,184","591,153","468,526","361,787","364,040","246,233","222,262","221,374","207,378","175,679","125,428","100,615","3,084,475","19,902,833",,
,2020/Nov,"1,718,145","1,591,580","973,037","646,225","603,612","207,126","147,726","5,887,451","1,635,521","915,483","766,938","684,878","445,552","327,014","243,874","187,900","5,207,160","1,805,269","987,268","962,841","589,753","565,897","463,651","178,292","149,959","136,547","5,839,477","595,897","472,658","370,055","367,448","250,042","224,121","222,218","210,352","176,822","126,613","101,238","3,117,464","20,051,552",,
,2020/Dic,"1,677,922","1,568,747","957,393","636,022","595,496","205,308","146,771","5,787,659","1,610,359","903,594","757,473","672,536","440,501","321,424","239,136","187,080","5,132,103","1,780,367","973,396","944,174","575,636","570,100","461,602","170,112","149,477","135,945","5,760,809","590,229","470,541","365,783","364,449","254,657","218,499","221,463","208,539","174,213","125,731","99,057","3,093,161","19,773,732",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cdmx,mexico,veracruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,447,038","1,638,840","757,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,435,535","1,639,195","753,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,329,731","1,602,221","731,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,272,727","1,580,188","710,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,263,299","1,580,456","704,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,257,082","1,579,438","701,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,251,617","1,586,644","706,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,248,637","1,596,357","707,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,285,539","1,611,893","714,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,309,725","1,619,262","722,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,246,669","1,593,415","725,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERIODO,CDMX ,MÉXICO ,QUERÉTARO,MORELOS,GUERRERO,NUEVO LEÓN,CHIHUAHUA,COAHUILA,TAMAULIPAS,SAN LUIS POTOSÍ,AGUASCALIENTES,DURANGO,ZACATECAS,JALISCO,GUANAJUATO,BAJA CALIFORNIA,SONORA,SINALOA,MICHOACÁN,BAJA CALIFORNIA SUR,NAYARIT,COLIMA,PUEBLA,VERACRUZ,QUINTANA ROO,YUCATÁN,HIDALGO,CHIAPAS,OAXACA,TABASCO,CAMPECHE,TLAXCALA,NACIONAL,,,,,,,,,
,2020/Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,2020/Mar,-0.333706794,0.021661663,-0.618436122,-0.591167157,-3.634770484,-0.295077391,-0.529799709,-0.710661589,-1.111960516,-0.305082289,-0.642724016,-0.304592506,-0.512014895,-0.327862431,-0.210546048,0.369211661,-1.467922894,0.412548272,-0.10320182,-3.496627905,-5.027033461,0.374047829,-0.815105324,-0.43573589,-10.12687457,0.386084325,-0.525782149,0.54520029,-0.159217297,0.419690226,-0.840685003,0.787500849,-0.633530317,,,,,,,,,
,2020/Apr,-3.403124654,-2.234446316,-3.963059529,-2.12061309,-6.3012069,-3.50069087,-2.031841195,-2.919246145,-3.011589387,-2.719383598,-2.947196796,-2.016907327,-2.584934702,-2.403254467,-2.496657803,-2.004929911,-3.089632856,-3.313145404,-0.930312063,-9.954014437,-10.76389106,-0.671993797,-3.766777014,-3.355787138,-19.65655526,-3.011717724,-3.301432746,-0.351813499,-2.07028636,-0.912696351,-2.402698495,-1.770907081,-3.32713417,,,,,,,,,
,2020/May,-5.056834302,-3.578872861,-5.540583348,-3.623358129,-7.874589865,-5.158598056,-3.457832754,-4.260767202,-4.200992807,-4.157816937,-3.763007334,-3.048775522,-3.538086397,-3.680263944,-4.179940901,-2.134239065,-4.926579341,-7.416852384,-3.126822858,-12.09263961,-11.00446694,-3.018946492,-5.800161461,-6.1633052,-24.10765167,-4.891441407,-5.201350178,-2.541465314,-4.098576274,-2.376705172,-4.051449329,-3.235348314,-4.998492253,,,,,,,,,
,2020/Jun,-5.330344487,-3.562519831,-5.551629751,-4.50355075,-8.667037627,-5.179260724,-2.965614569,-5.50122265,-4.913780708,-4.966317949,-4.888955839,-3.388795231,-3.636998366,-4.472389587,-5.021039805,-1.437288251,-5.631940642,-10.00408295,-3.742828755,-10.86456093,-9.58419216,-3.279559471,-6.53501418,-6.924621257,-23.95385147,-5.028975824,-5.797721468,-2.708300143,-5.326626209,-2.743861958,-5.053006153,-3.721232458,-5.402649017,,,,,,,,,
,2020/Jul,-5.510702232,-3.624636938,-5.626517865,-6.153853361,-8.095886819,-4.924119073,-1.418009643,-4.650042719,-4.292102105,-4.96126619,-4.964865799,-3.775236792,-3.117578296,-5.186766241,-4.66792626,-0.617834029,-5.918268956,-9.847059424,-4.306058566,-10.79070369,-8.794176059,-3.214944683,-6.504919453,-7.396679479,-24.50443923,-6.297724312,-7.024689087,-2.555626361,-6.338232919,-2.264133516,-7.887167322,-3.897741269,-5.421602582,,,,,,,,,
,2020/Aug,-5.669244145,-3.184935686,-4.568337435,-5.404354588,-7.533690223,-3.936056898,-0.48212993,-3.82307242,-3.442792614,-4.151886612,-4.550462401,-3.514215674,-2.222610112,-4.32380142,-4.295474839,0.114421586,-6.096407005,-9.887208452,-3.55266391,-9.271508898,-9.824141539,-3.306123328,-6.574025862,-6.750670312,-24.51714999,-6.161229854,-6.315375171,-3.449099888,-6.113482705,-1.110707008,-8.163688932,-3.340089806,-4.973401943,,,,,,,,,
,2020/Sep,-5.755695179,-2.592260379,-3.713540778,-4.798665892,-7.57142583,-3.1320858,-0.040242162,-3.309930689,-2.95678145,-3.472754548,-3.618571652,-3.054069242,-1.379478147,-3.716336428,-3.889872775,0.943340047,-4.309633346,-7.51926643,-3.008023247,-7.228305111,-7.590043667,-3.502121519,-6.873699279,-6.49694232,-24.1216335,-5.628511482,-6.021467655,-3.048607792,-5.406465607,-0.173187163,-7.764104085,-3.204313798,-4.421094954,,,,,,,,,
,2020/Oct,-4.685152876,-1.644272778,-2.839900257,-3.925968259,-5.866288031,-1.909725893,0.728904183,-2.5343258,-2.766733148,-2.880161305,-3.942887355,-1.781540391,-0.715657183,-2.700376394,-3.268692868,2.222713748,-3.437410625,-5.020840067,-1.797164621,-5.229846948,-7.378913274,-2.53433558,-5.869904796,-5.59377105,-23.35686942,-5.35344265,-4.913432044,-2.034765369,-4.295175024,1.417825577,-7.014604493,-2.420692264,-3.447749091,,,,,,,,,
