origen,o_latitude,o_longitude,destino,d_latitude,d_longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total
Alemania,51.165691,10.451526,Aguascalientes,21.885256,-102.291568,2.2,1.8,2,0.7,7.9,2.1,2.4,6.3,4.1,3.3,1.5,-34.5,1,0.8,3.1,-1.1,129.8,118.6,238.3,155.1,11.6,35,-2.5,22.9,55.5
Alemania,51.165691,10.451526,Baja California,30.840634,-115.283758,33,17.8,59,12.3,4.6,13.9,31.7,14.5,13.8,11.9,-9,35.8,10,21.2,17.6,25,-0.4,7.2,-3.8,-1.3,25.7,7.8,25,-22.4,350.8
Alemania,51.165691,10.451526,Baja California Sur,26.044445,-111.666072,0.1,0.3,0.5,0,C,0.1,0.5,0.2,0.9,0.3,0,0.5,C,0.3,0.2,0,102.8,0.4,0.1,1.1,1.5,0,3.9,0.5,114.1
Alemania,51.165691,10.451526,Campeche,19.830125,-90.534909,C,0,C,C,0,0,0,C,0,0,0,C,0,C,C,C,0,0,C,19,C,C,C,C,19
Alemania,51.165691,10.451526,Chiapas,16.756932,-93.129235,C,0,C,C,0,0,0,C,0,C,0,C,C,C,C,C,0.1,C,0.2,1.3,5.8,C,1.5,C,1.5
Alemania,51.165691,10.451526,Chihuahua,28.485446,-105.782067,14.3,8.8,17,0.6,4.5,4,23.9,40.9,17.3,23.5,35.3,44.2,20.8,9.1,-18.1,46.9,36,25.7,13.6,25.6,32,-52.1,154.8,-128.7,-26
Alemania,51.165691,10.451526,Ciudad de México,19.432608,-99.133208,268.2,32.5,134.6,271.1,54.2,40.3,85.4,102.8,238.5,139.8,196.4,-0.2,-71.1,256.4,145.7,267.2,64.7,468.7,148.3,424.6,491.8,162,517.1,319.8,998.9
Alemania,51.165691,10.451526,Coahuila de Zaragoza,27.058676,-101.706829,5,21.4,23.5,C,10.2,1.7,9,10.6,25.6,20.4,4.4,2.3,4.6,4.3,16.3,22.2,21.7,9.7,112.6,268.5,133.9,104.1,162.6,13.7,280.4
Alemania,51.165691,10.451526,Colima,19.245234,-103.724087,2.4,0.2,2.8,0.1,0,C,0.7,0.7,-1.9,1.5,1.8,-0.5,C,C,C,0.4,0,C,0.8,0.3,0.8,0.1,0.2,0.2,0.5
Alemania,51.165691,10.451526,Durango,24.02772,-104.653176,C,0,C,C,0,0,0,-6.7,0,C,0,C,C,C,C,C,C,C,C,C,C,C,6.7,C,6.7
Alemania,51.165691,10.451526,Estado de México,19.496873,-99.723267,204.5,53.8,200,52.6,50.4,106.1,122.3,100.5,60.5,44,-57.4,56,170.5,271.2,514.8,233.7,-153.6,436.2,361.9,424.2,430.4,161.7,285.5,55.9,503.2
Alemania,51.165691,10.451526,Guanajuato,21.019015,-101.257359,8.4,9.2,11.1,17.3,7.4,39,0.1,2,6.3,100,30.3,47.5,72.9,37.5,160,42.2,56.7,158.4,274.1,212.6,67.5,71,162.6,-97,136.5
Alemania,51.165691,10.451526,Guerrero,17.439193,-99.545097,1.3,0.2,0,0.2,0,C,0,0,C,0,0,0,C,C,C,0,C,0.1,0.8,1.3,3,C,0.5,C,0.5
Alemania,51.165691,10.451526,Hidalgo,20.091096,-98.762387,C,0,C,C,0,0,0,C,0,C,0,C,0,C,C,C,0,0,1.8,18,4.8,C,10.6,1.5,12.1
Alemania,51.165691,10.451526,Jalisco,20.659538,-103.349438,43.5,102,95.1,27.4,27.2,69.8,9,45.8,77.8,178.7,86.6,179.3,114.7,138.4,-61.4,303.3,341.8,375.1,255,42,139.6,349.4,72.9,98.1,520.4
Alemania,51.165691,10.451526,Michoacán de Ocampo,19.566519,-101.706829,0,0.1,0.1,0,0,0,0,-0.3,C,C,C,C,-10.7,8.2,C,C,C,C,15.9,1.4,5.7,-0.6,0.6,2.1,2
Alemania,51.165691,10.451526,Morelos,18.681305,-99.10135,17.1,8.6,4.7,4.7,2,0.7,1.1,3.8,1.6,C,0.5,8.2,0.2,-1.3,0.3,14.3,24,9.4,3,94.7,228,-58.8,126.9,-24.9,43.2
Alemania,51.165691,10.451526,Nayarit,21.751384,-104.845462,3.6,0.2,0.2,0,0.1,0.6,0.1,6.1,6.3,C,C,2.3,C,1.2,-0.2,C,0,C,0.4,0.7,0.2,4.7,9.1,1.3,15.2
Alemania,51.165691,10.451526,Nuevo León,25.592172,-99.996195,32.9,6.1,80.5,24.5,104.8,24,23.8,55.1,110,59.2,-148.1,43.6,110.3,73.4,38.2,49.1,17.7,139.7,41.1,46.7,145.7,86.4,199,11.4,296.8
Alemania,51.165691,10.451526,Oaxaca,17.073184,-96.726589,0,0,0,0.2,0.1,C,0,-0.3,C,0,0,C,0,0,C,0,0,0,-0.1,1.8,4,-0.5,0.8,0.5,0.8
